available_dl_prbs,available_ul_prbs,ue_id,dl_bytes,ul_bytes,dl_prbs,ul_prbs,tx_pkts,tx_errors,rx_pkts,rx_errors,rx_brate,dl_cqi,dl_ri,dl_pmi,ul_phr,ul_sinr,ul_mcs,ul_samples,dl_mcs,dl_samples,ue_id2,dl_bytes2,ul_bytes2,dl_prbs2,ul_prbs2,tx_pkts2,tx_errors2,rx_pkts2,rx_errors2,rx_brate2,dl_cqi2,dl_ri2,dl_pmi2,ul_phr2,ul_sinr2,ul_mcs2,ul_samples2,dl_mcs2,dl_samples2
100,100,70,3481630,50712,38728,1301,19,0,5,0,16952,15,0,0,40,36.1336,21.6,10,24.9,40,72,58283988,829617,626888,17221,85,0,13,0,96096,15,0,0,40,38.9929,22.6897,29,27.513,154
100,100,70,679930,7956,7492,188,18,0,5,0,16952,15,0,0,40,39.0991,21.75,8,26.2432,37,72,13326628,183612,143404,3790,117,1,16,0,128544,15,0,0,40,37.8974,22.6667,33,27.7918,245
100,100,70,543944,6604,6044,155,0,0,0,0,0,15,0,0,0,0,0,0,0,0,72,13190642,173576,141696,3598,150,0,22,0,179192,15,0,0,40,38.2768,22.8235,51,27.9192,297
100,100,70,679930,7956,7600,188,0,0,0,0,0,15,0,0,0,0,0,0,0,0,72,13326628,206336,143080,4272,182,0,28,0,273368,15,0,0,40,38.198,22.678,59,27.9056,360
100,100,70,679930,8060,7568,189,12,0,3,0,12408,15,0,0,40,41.2784,22,6,27.7143,21,72,13326628,193284,143288,4064,218,0,32,0,255512,15,0,0,40,39.2756,22.7377,61,27.8889,450
100,100,70,679930,9152,7536,201,17,0,5,0,16952,15,0,0,40,41.0947,21.75,8,27.7097,31,72,13190642,189748,141876,3912,257,0,38,0,295624,15,0,0,40,39.441,22.7436,78,27.8417,499
100,100,70,679930,7956,7568,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,13326628,172276,143292,3536,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,100,70,679930,8112,7648,191,0,0,0,0,0,15,0,0,0,0,0,0,0,0,72,13326628,174928,142832,3616,35,0,5,0,46792,15,0,0,40,0,0,10,27.9101,89
100,100,70,679930,8164,7480,192,7,0,2,0,8272,15,0,0,40,41.8018,22,4,27.8889,9,72,13190642,200096,141664,4176,72,0,14,0,101360,15,0,0,40,39.0044,22.5833,36,27.5379,132
100,100,70,679930,8164,7684,191,17,0,6,0,17856,15,0,0,40,41.4565,21.6364,11,27.6286,35,72,13326628,183092,142992,3841,107,0,15,0,120552,15,0,0,40,39.0551,22.7143,28,27.893,215
100,100,70,649084,7384,7352,179,13,0,3,0,8680,15,0,0,40,41.3986,21.6,5,27.7083,24,72,13326628,196040,142640,4104,139,0,21,0,178256,15,0,0,40,38.296,22.625,40,27.9204,289
100,100,70,574790,6968,6360,160,0,0,0,0,0,15,0,0,0,0,0,0,0,0,72,13190642,190892,141876,3963,168,0,27,0,214920,15,0,0,40,39.6204,22.6964,56,27.8997,329
100,100,70,679930,8164,7668,192,0,0,0,0,0,15,0,0,0,0,0,0,0,0,72,13326628,181740,143004,3810,210,0,32,0,244272,15,0,0,40,38.9397,22.6721,61,27.8759,419
100,100,70,679930,8008,7664,189,17,0,5,0,16952,15,0,0,40,41.7691,21.6,10,27.6667,36,72,13326628,189696,142644,3991,244,0,38,0,345376,15,0,0,40,37.676,22.6711,76,27.9035,487
100,100,70,679930,8008,7604,189,18,1,6,0,17360,15,0,0,40,40.7866,21.2727,11,27.5278,36,72,13190642,188760,141900,3907,272,1,44,0,348528,15,0,0,40,39.6781,22.7143,98,27.8938,546
100,100,70,679930,8216,7592,193,0,0,0,0,0,15,0,0,0,0,0,0,0,0,72,13326628,182208,142964,3823,30,0,3,0,28352,15,0,0,40,0,0,3,27.8644,59
100,100,70,679930,8216,7648,193,0,0,0,0,0,15,0,0,0,0,0,0,0,0,72,13326628,170924,142440,3583,53,0,11,0,80256,15,0,0,40,0,0,17,27.9346,107
100,100,70,679930,8216,7648,193,18,1,6,0,17856,15,0,0,40,41.9252,21.5714,14,27.6389,36,72,13190642,163332,142092,3397,93,1,17,0,113208,15,0,0,40,39.7931,22.0556,36,27.6793,184
100,100,70,679930,8216,7508,193,17,0,6,0,17856,15,0,0,40,40.3967,21.6364,11,27.5882,34,72,13326628,170872,142964,3542,137,0,19,0,143384,15,0,0,40,39.3228,22.7027,37,27.7732,269
100,100,70,558964,6604,6340,154,1,0,0,0,0,15,0,0,0,0,0,0,27.4,5,72,13326628,170924,142252,3629,152,0,25,0,193696,15,0,0,40,39.3665,22.4565,46,27.8882,313
100,100,70,664910,8112,7496,191,0,0,0,0,0,15,0,0,0,0,0,0,0,0,72,13190642,173940,142300,3633,195,0,30,0,225704,15,0,0,40,39.4356,22.619,63,27.8931,393
100,100,70,679930,8268,7480,194,16,0,6,0,17856,15,0,0,40,41.5623,21.5714,14,27.871,31,72,13326628,172380,142972,3548,242,0,37,0,283856,15,0,0,40,39.615,22.4675,77,27.7811,466
100,100,70,679930,8060,7688,190,17,0,5,0,16952,15,0,0,40,41.0738,21.6,10,27.6364,33,72,13326628,184392,142148,3854,256,0,42,0,369840,15,0,0,40,39.3395,22.5375,80,27.8958,528
100,100,70,679930,7904,7648,187,0,0,0,0,0,15,0,0,0,0,0,0,0,0,72,13190642,168636,142400,3474,15,0,2,0,16712,15,0,0,0,39.802,22.5,6,27.8065,31
100,100,70,679930,8164,7592,192,0,0,0,0,0,15,0,0,0,0,0,0,0,0,72,13326628,170092,142996,3543,50,0,8,0,62352,15,0,0,40,39.3284,22.8333,18,27.8876,89
100,100,70,679930,8112,7592,191,12,0,4,0,13312,15,0,0,40,41.9289,22,7,27.8571,21,72,13326628,173368,141920,3624,75,0,13,0,100464,15,0,0,40,39.2214,22.6818,22,27.8544,158
100,100,70,679930,7956,7492,187,17,0,5,0,16952,15,0,0,40,40.6846,21.75,8,27.5714,35,72,13190642,169468,142560,3534,122,0,18,0,138048,15,0,0,40,38.0836,22.6061,33,27.6234,239
100,100,70,649084,7488,7144,181,10,0,4,0,9584,15,0,0,40,0,0,6,27.5385,26,72,13326628,172536,142760,3556,144,0,24,0,179760,15,0,0,40,39.7961,22.7347,49,27.8776,294
100,100,70,574790,7020,6368,161,0,0,0,0,0,15,0,0,0,0,0,0,0,0,72,13326628,163800,141932,3399,180,0,27,0,178720,15,0,0,40,39.277,22.7273,55,27.9011,364
100,100,70,679930,8112,7488,191,0,0,0,0,0,15,0,0,0,0,0,0,0,0,72,13190642,171808,142768,3610,224,0,35,0,272880,15,0,0,40,39.6164,22.625,72,27.8799,433
100,100,70,679930,7956,7484,187,19,0,5,0,16952,15,0,0,40,39.908,21.5,12,23.6667,42,72,13326628,184808,142976,3806,253,0,42,0,341216,15,0,0,40,38.5609,22.6264,91,27.6951,515
100,100,70,679930,8112,7500,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,13326628,181116,141624,3749,0,0,0,0,0,0,0,0,0,0,0,0,0,1
100,100,70,679930,8060,7544,190,0,0,0,0,0,15,0,0,0,0,0,0,0,0,72,13190642,179296,142868,3684,36,0,6,0,42912,15,0,0,40,39.742,22.7857,14,27.8667,60
100,100,70,679930,8060,7508,190,0,0,0,0,0,15,0,0,0,0,0,0,0,0,72,13326628,176696,142984,3643,68,0,9,0,61392,15,0,0,40,39.8734,22.68,25,27.8851,148
100,100,70,679930,8164,7480,192,17,0,5,0,16952,15,0,0,40,41.1868,21.6,10,27.5278,36,72,13190642,167700,141520,3447,105,0,16,0,107872,15,0,0,40,39.5559,22.625,32,27.8922,204
100,100,70,679930,8060,7488,189,17,0,5,0,16952,15,0,0,40,40.1,21.75,8,27.5714,35,72,13326628,176644,142972,3716,136,0,24,0,193608,15,0,0,40,39.7059,22.5686,51,27.9067,268
100,100,70,558964,6448,6164,161,2,0,0,0,0,15,0,0,0,0,0,0,0,3,72,13326628,173784,142932,3604,172,0,26,0,207008,15,0,0,40,39.4358,22.5439,57,27.8833,360
100,100,70,664910,8112,7312,182,0,0,0,0,0,15,0,0,0,0,0,0,0,0,72,13190642,177216,141552,3656,209,0,32,0,266376,15,0,0,40,39.3513,22.6441,59,27.9003,401
100,100,70,679930,8060,7536,190,17,0,5,0,16952,15,0,0,40,40.8617,21.6,10,27.6176,34,72,13326628,168792,142960,3483,240,0,36,0,263728,15,0,0,40,39.6247,22.6806,72,27.8854,480
100,100,70,679930,8164,7528,192,17,0,6,0,17360,15,0,0,40,41.1298,21.4,10,27.5714,35,72,13326628,171236,142800,3493,275,0,45,0,326648,15,0,0,40,39.452,22.625,88,27.8936,564
100,100,70,679930,8060,7508,190,0,0,0,0,0,15,0,0,0,0,0,0,0,0,72,13190642,169780,141664,3488,20,0,4,0,26944,15,0,0,40,0,0,4,27.9333,30
100,100,70,679930,8060,7500,190,0,0,0,0,0,15,0,0,0,0,0,0,0,0,72,13326628,177164,142964,3695,60,0,7,0,49496,15,0,0,40,39.5152,22.4118,17,27.918,122
100,100,70,679930,8684,7516,196,17,0,6,0,17360,15,0,0,40,40.5065,21.2308,13,27.6897,29,72,13326628,182260,142608,3841,96,0,13,0,106416,15,0,0,40,39.5917,22.6538,26,27.9188,197
100,100,70,679930,8112,7524,191,17,0,6,0,17360,15,0,0,40,40.8467,21.3846,13,27.6765,34,72,13190642,175448,141884,3636,122,0,21,0,168016,15,0,0,40,38.2448,22.5476,42,27.8852,244
100,100,70,679930,7852,7568,190,17,0,5,0,13224,15,0,0,40,40.9217,21.3333,9,27.5,36,72,13326628,177788,142980,3717,166,0,23,0,179984,15,0,0,40,39.7627,22.8333,48,27.8627,335
100,100,70,543944,6656,6060,152,0,0,0,0,0,15,0,0,0,0,0,0,0,0,72,13326628,169936,142620,3526,197,0,31,0,229696,15,0,0,40,39.3059,22.3134,67,27.869,397
100,100,70,679930,8060,7548,190,0,0,1,0,4136,15,0,0,40,0,0,2,0,0,72,13190642,176436,141880,3659,225,0,36,0,307272,15,0,0,40,39.3972,22.697,66,27.8993,447
100,100,70,679930,8060,7568,190,17,0,6,0,17360,15,0,0,40,41.0268,21.3846,13,27.5882,34,72,13326628,171392,142972,3550,271,0,41,0,338304,15,0,0,40,39.6097,22.6875,80,27.8911,542
100,100,70,679930,10764,7556,235,0,0,0,0,0,15,0,0,0,0,0,0,0,0,72,13326628,164372,142428,3351,6,0,2,0,14816,15,0,0,40,0,0,4,28,18
100,100,70,679930,8060,7548,190,0,0,0,0,0,15,0,0,0,0,0,0,0,0,72,13190642,175968,142072,3591,45,0,7,0,55128,15,0,0,40,0,0,9,27.9,90
100,100,70,679930,8060,7556,190,1,0,0,0,0,15,0,0,0,0,0,0,0,1,72,13326628,163956,142964,3445,90,0,12,0,87800,15,0,0,40,37.9795,22.65,20,27.8994,169
100,100,70,679930,8060,7548,190,17,0,6,0,17360,15,0,0,40,40.9464,21.2308,13,27.7941,34,72,13326628,184912,142196,3914,106,0,19,0,145040,15,0,0,40,39.4386,22.4359,39,27.7655,226
100,100,70,679930,8060,7556,190,17,0,6,0,17360,15,0,0,40,40.261,21.3846,13,27.5714,35,72,13190642,190060,142268,4039,153,0,25,0,183472,15,0,0,40,39.5873,22.5455,44,27.9049,305
100,100,70,558964,6448,6204,161,2,0,0,0,0,15,0,0,0,0,0,0,0,3,72,13326628,181740,142972,3823,193,0,30,0,251352,15,0,0,40,38.1513,22.6727,55,27.8537,376
100,100,70,664910,8060,7376,181,0,0,0,0,0,15,0,0,0,0,0,0,0,0,72,13326628,181064,142112,3756,210,0,35,0,274392,15,0,0,40,39.4578,22.5616,73,27.8866,432
